Tiempo serie 1,Datos serie 1,Tiempo serie 2,Datos serie 2,Tiempo serie 3,Datos serie 3,Tiempo serie 4,Datos serie 4,Tiempo serie 5,Datos serie 5,
86.250473,0.104105,885.373901,0.106499,2152.990234,0.307963,3303.722168,0.189123,4504.766113,0.205269,
86.266777,0.104101,885.390198,0.106514,2153.006592,0.307875,3303.738281,0.189007,4504.782227,0.205404,
86.283073,0.104096,885.406494,0.106529,2153.022705,0.307786,3303.754639,0.188892,4504.798340,0.205539,
86.299377,0.104092,885.422852,0.106544,2153.039062,0.307696,3303.770752,0.188776,4504.814941,0.205675,
86.315674,0.104088,885.439148,0.106559,2153.055176,0.307605,3303.787109,0.188661,4504.831055,0.205810,
86.331978,0.104084,885.455505,0.106574,2153.071533,0.307513,3303.803223,0.188546,4504.847168,0.205946,
86.348274,0.104080,885.471802,0.106589,2153.087646,0.307420,3303.819580,0.188431,4504.863281,0.206082,
86.364578,0.104076,885.488098,0.106604,2153.104004,0.307326,3303.835693,0.188317,4504.879883,0.206218,
86.380875,0.104072,885.504456,0.106619,2153.120117,0.307231,3303.852051,0.188202,4504.895996,0.206355,
86.397171,0.104068,885.520752,0.106634,2153.136475,0.307135,3303.868164,0.188087,4504.912109,0.206491,
86.413475,0.104064,885.537048,0.106650,2153.152588,0.307038,3303.884521,0.187973,4504.928223,0.206628,
86.429771,0.104061,885.553406,0.106665,2153.168945,0.306941,3303.900635,0.187859,4504.944824,0.206765,
86.446075,0.104057,885.569702,0.106680,2153.185303,0.306842,3303.916992,0.187745,4504.960938,0.206902,
86.462372,0.104053,885.586060,0.106696,2153.201416,0.306743,3303.933350,0.187631,4504.977051,0.207039,
86.478676,0.104049,885.602356,0.106711,2153.217773,0.306643,3303.949463,0.187517,4504.993652,0.207176,
86.494972,0.104046,885.618652,0.106726,2153.233887,0.306541,3303.965820,0.187403,4505.009766,0.207314,
86.511276,0.104042,885.635010,0.106742,2153.250244,0.306439,3303.981934,0.187290,4505.025879,0.207452,
86.527573,0.104039,885.651306,0.106757,2153.266357,0.306336,3303.998291,0.187176,4505.041992,0.207589,
86.543877,0.104035,885.667664,0.106773,2153.282715,0.306232,3304.014404,0.187063,4505.058594,0.207727,
86.560173,0.104032,885.683960,0.106789,2153.298828,0.306127,3304.030762,0.186950,4505.074707,0.207866,
86.576477,0.104028,885.700256,0.106804,2153.315186,0.306022,3304.046875,0.186837,4505.090820,0.208004,
86.592773,0.104025,885.716614,0.106820,2153.331299,0.305915,3304.063232,0.186724,4505.106934,0.208143,
86.609070,0.104021,885.732910,0.106836,2153.347656,0.305808,3304.079346,0.186611,4505.123535,0.208281,
86.625374,0.104018,885.749207,0.106851,2153.363770,0.305699,3304.095703,0.186499,4505.139648,0.208420,
86.641670,0.104015,885.765564,0.106867,2153.380127,0.305590,3304.111816,0.186386,4505.155762,0.208559,
86.657974,0.104012,885.781860,0.106883,2153.396240,0.305480,3304.128174,0.186274,4505.171875,0.208698,
86.674271,0.104008,885.798218,0.106899,2153.412598,0.305369,3304.144287,0.186162,4505.188477,0.208838,
86.690575,0.104005,885.814514,0.106915,2153.428711,0.305258,3304.160645,0.186050,4505.204590,0.208977,
86.706871,0.104002,885.830811,0.106931,2153.445068,0.305145,3304.176758,0.185938,4505.220703,0.209117,
86.723175,0.103999,885.847168,0.106947,2153.461182,0.305032,3304.193115,0.185826,4505.236816,0.209257,
86.739471,0.103996,885.863464,0.106963,2153.477539,0.304918,3304.209229,0.185714,4505.253418,0.209397,
86.755775,0.103993,885.879822,0.106979,2153.493652,0.304803,3304.225586,0.185603,4505.269531,0.209537,
86.772072,0.103990,885.896118,0.106995,2153.510010,0.304687,3304.241699,0.185491,4505.285645,0.209677,
86.788368,0.103987,885.912415,0.107012,2153.526123,0.304570,3304.258057,0.185380,4505.301758,0.209818,
86.804672,0.103984,885.928772,0.107028,2153.542480,0.304452,3304.274170,0.185269,4505.318359,0.209959,
86.820969,0.103982,885.945068,0.107044,2153.558594,0.304334,3304.290527,0.185158,4505.334473,0.210099,
86.837273,0.103979,885.961365,0.107061,2153.574951,0.304215,3304.306641,0.185047,4505.350586,0.210240,
86.853569,0.103976,885.977722,0.107077,2153.591309,0.304095,3304.322998,0.184936,4505.367188,0.210382,
86.869873,0.103973,885.994019,0.107093,2153.607422,0.303974,3304.339355,0.184825,4505.383301,0.210523,
86.886169,0.103971,886.010376,0.107110,2153.623779,0.303853,3304.355469,0.184715,4505.399414,0.210665,
